    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1 2p           1 radial matrix data

        binding energy = 1062.992 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
      14.1500    0.24506E-01      2.6643    0.59572E-02     -0.4599
      14.2000    0.24411E-01      2.6634    0.59427E-02     -0.4665
      14.2500    0.24315E-01      2.6625    0.59280E-02     -0.4731
      14.3000    0.24218E-01      2.6615    0.59130E-02     -0.4797
      14.3500    0.24120E-01      2.6606    0.58978E-02     -0.4862
      14.4000    0.24020E-01      2.6596    0.58824E-02     -0.4927
      14.4500    0.23919E-01      2.6585    0.58667E-02     -0.4992
      14.5000    0.23817E-01      2.6575    0.58507E-02     -0.5056
      14.5500    0.23714E-01      2.6564    0.58345E-02     -0.5120
      14.6000    0.23610E-01      2.6553    0.58181E-02     -0.5184
      14.6500    0.23506E-01      2.6541    0.58015E-02     -0.5247
      14.7000    0.23400E-01      2.6529    0.57846E-02     -0.5311
      14.7500    0.23294E-01      2.6517    0.57675E-02     -0.5374
      14.8000    0.23187E-01      2.6504    0.57501E-02     -0.5437
      14.8500    0.23080E-01      2.6491    0.57326E-02     -0.5499
      14.9000    0.22972E-01      2.6477    0.57148E-02     -0.5562
      14.9500    0.22864E-01      2.6463    0.56969E-02     -0.5624
      15.0000    0.22755E-01      2.6449    0.56787E-02     -0.5687
      15.0500    0.22646E-01      2.6434    0.56603E-02     -0.5749
      15.1000    0.22537E-01      2.6418    0.56417E-02     -0.5811
      15.1500    0.22428E-01      2.6402    0.56230E-02     -0.5873
      15.2000    0.22319E-01      2.6386    0.56041E-02     -0.5935
      15.2500    0.22210E-01      2.6369    0.55850E-02     -0.5997
      15.3000    0.22100E-01      2.6351    0.55657E-02     -0.6059
      15.3500    0.21991E-01      2.6333    0.55463E-02     -0.6120
      15.4000    0.21883E-01      2.6315    0.55268E-02     -0.6182
      15.4500    0.21774E-01      2.6296    0.55071E-02     -0.6244
      15.5000    0.21666E-01      2.6277    0.54873E-02     -0.6306
      15.5500    0.21558E-01      2.6257    0.54673E-02     -0.6368
      15.6000    0.21451E-01      2.6236    0.54473E-02     -0.6430
      15.6500    0.21344E-01      2.6215    0.54271E-02     -0.6492
      15.7000    0.21238E-01      2.6194    0.54069E-02     -0.6554
      15.7500    0.21132E-01      2.6172    0.53865E-02     -0.6616
      15.8000    0.21027E-01      2.6150    0.53661E-02     -0.6679
      15.8500    0.20923E-01      2.6127    0.53457E-02     -0.6741
      15.9000    0.20819E-01      2.6104    0.53251E-02     -0.6803
      15.9500    0.20717E-01      2.6081    0.53045E-02     -0.6866
      16.0000    0.20615E-01      2.6057    0.52839E-02     -0.6929
      16.0500    0.20514E-01      2.6032    0.52633E-02     -0.6992
      16.1000    0.20413E-01      2.6008    0.52426E-02     -0.7054
      16.1500    0.20314E-01      2.5983    0.52219E-02     -0.7118
      16.2000    0.20215E-01      2.5957    0.52012E-02     -0.7181
      16.2500    0.20118E-01      2.5932    0.51805E-02     -0.7244
      16.3000    0.20021E-01      2.5906    0.51598E-02     -0.7308
      16.3500    0.19926E-01      2.5879    0.51391E-02     -0.7371
      16.4000    0.19831E-01      2.5853    0.51185E-02     -0.7435
      16.4500    0.19738E-01      2.5826    0.50979E-02     -0.7499
      16.5000    0.19645E-01      2.5799    0.50774E-02     -0.7563
      16.5500    0.19554E-01      2.5772    0.50569E-02     -0.7627
      16.6000    0.19464E-01      2.5745    0.50364E-02     -0.7691
      16.6500    0.19374E-01      2.5717    0.50161E-02     -0.7756
      16.7000    0.19286E-01      2.5689    0.49957E-02     -0.7820
      16.7500    0.19199E-01      2.5662    0.49755E-02     -0.7885
      16.8000    0.19113E-01      2.5634    0.49554E-02     -0.7950
      16.8500    0.19028E-01      2.5606    0.49353E-02     -0.8015
      16.9000    0.18944E-01      2.5578    0.49154E-02     -0.8080
      16.9500    0.18861E-01      2.5550    0.48956E-02     -0.8145
      17.0000    0.18779E-01      2.5522    0.48758E-02     -0.8211
      17.0500    0.18698E-01      2.5494    0.48562E-02     -0.8276
      17.1000    0.18618E-01      2.5466    0.48367E-02     -0.8342
      17.1500    0.18539E-01      2.5438    0.48173E-02     -0.8407
      17.2000    0.18461E-01      2.5410    0.47981E-02     -0.8473
      17.2500    0.18384E-01      2.5382    0.47790E-02     -0.8539
      17.3000    0.18308E-01      2.5354    0.47600E-02     -0.8604
      17.3500    0.18233E-01      2.5326    0.47412E-02     -0.8670
      17.4000    0.18159E-01      2.5299    0.47225E-02     -0.8736
      17.4500    0.18086E-01      2.5272    0.47039E-02     -0.8802
      17.5000    0.18013E-01      2.5245    0.46856E-02     -0.8868
      17.5500    0.17942E-01      2.5218    0.46673E-02     -0.8934
      17.6000    0.17871E-01      2.5191    0.46492E-02     -0.9000
      17.6500    0.17801E-01      2.5165    0.46313E-02     -0.9066
      17.7000    0.17732E-01      2.5138    0.46135E-02     -0.9133
      17.7500    0.17664E-01      2.5112    0.45959E-02     -0.9199
