    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)
        10              lnum
   12.8000   1.6872  -0.1025  -2.0051   2.5514   1.3968   0.8980   0.3677   0.0870   0.0161   0.0024
   12.8500   1.6769  -0.1112  -2.0102   2.5505   1.3997   0.9027   0.3767   0.0903   0.0168   0.0026
   12.9000   1.6665  -0.1199  -2.0154   2.5495   1.4027   0.9071   0.3857   0.0938   0.0176   0.0027
   12.9500   1.6562  -0.1286  -2.0206   2.5483   1.4059   0.9113   0.3948   0.0973   0.0185   0.0029
   13.0000   1.6458  -0.1374  -2.0260   2.5472   1.4091   0.9153   0.4038   0.1009   0.0194   0.0030
   13.0500   1.6355  -0.1461  -2.0313   2.5459   1.4125   0.9191   0.4128   0.1047   0.0203   0.0032
   13.1000   1.6251  -0.1549  -2.0367   2.5446   1.4159   0.9227   0.4218   0.1085   0.0212   0.0034
   13.1500   1.6148  -0.1637  -2.0422   2.5432   1.4195   0.9261   0.4308   0.1124   0.0222   0.0036
   13.2000   1.6044  -0.1725  -2.0477   2.5418   1.4232   0.9294   0.4397   0.1164   0.0232   0.0038
   13.2500   1.5941  -0.1814  -2.0533   2.5403   1.4270   0.9325   0.4486   0.1206   0.0242   0.0040
   13.3000   1.5837  -0.1902  -2.0589   2.5388   1.4308   0.9354   0.4575   0.1248   0.0253   0.0042
   13.3500   1.5734  -0.1990  -2.0645   2.5372   1.4348   0.9382   0.4663   0.1291   0.0264   0.0044
   13.4000   1.5631  -0.2079  -2.0702   2.5356   1.4389   0.9408   0.4750   0.1335   0.0276   0.0047
   13.4500   1.5527  -0.2168  -2.0759   2.5340   1.4431   0.9433   0.4837   0.1381   0.0288   0.0049
   13.5000   1.5424  -0.2256  -2.0817   2.5324   1.4473   0.9457   0.4922   0.1427   0.0301   0.0052
   13.5500   1.5321  -0.2345  -2.0874   2.5308   1.4517   0.9479   0.5007   0.1474   0.0314   0.0054
   13.6000   1.5218  -0.2434  -2.0932   2.5292   1.4561   0.9501   0.5091   0.1523   0.0327   0.0057
   13.6500   1.5116  -0.2522  -2.0990   2.5275   1.4606   0.9521   0.5173   0.1572   0.0341   0.0060
