   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Feb 27, 2026

   initial angular momentum (li) = 0   msorder=  6   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  10.0,  11.0 and   3.04 angstrom
   cluster size= 187 atoms and spacings=  1.75  0.00  0.36  1.28 angs
   inner potential=  4.0 V  debye and sample temperature= 237, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-2 =   16.0   69.7 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    10  1200    1   10  120 1200  ncurve npoint nk ntheta nphi nangle
   1   120  15.82   30.0    1.0    0.0   ----------------------------
  233.5    3.1566e+00    3.3519e+00   -5.8275e-02   -2.8306e-02
  236.5    2.9744e+00    3.3519e+00   -1.1262e-01   -4.6792e-02
  239.5    2.7821e+00    3.3519e+00   -1.7000e-01   -5.7480e-02
  242.5    2.6538e+00    3.3519e+00   -2.0828e-01   -5.0003e-02
  245.5    2.6403e+00    3.3519e+00   -2.1231e-01   -2.1764e-02
  248.5    2.7218e+00    3.3519e+00   -1.8798e-01   -2.8038e-05
  251.5    2.9631e+00    3.3519e+00   -1.1600e-01    1.9801e-02
  254.5    3.2254e+00    3.3519e+00   -3.7752e-02    2.6109e-02
  257.5    3.4983e+00    3.3519e+00    4.3675e-02    4.9371e-02
  260.5    3.7415e+00    3.3519e+00    1.1622e-01    6.7713e-02
  263.5    3.9816e+00    3.3519e+00    1.8787e-01    8.7031e-02
  266.5    4.1519e+00    3.3519e+00    2.3866e-01    1.0122e-01
  269.5    4.2536e+00    3.3519e+00    2.6899e-01    1.0517e-01
  272.5    4.2259e+00    3.3519e+00    2.6074e-01    1.0859e-01
  275.5    3.9645e+00    3.3519e+00    1.8276e-01    1.0698e-01
  278.5    3.6112e+00    3.3519e+00    7.7358e-02    1.0316e-01
  281.5    3.3403e+00    3.3519e+00   -3.4617e-03    7.7402e-02
  284.5    3.0228e+00    3.3519e+00   -9.8199e-02    3.0569e-02
  287.5    2.8090e+00    3.3519e+00   -1.6197e-01   -6.4167e-03
  290.5    2.6970e+00    3.3519e+00   -1.9539e-01   -2.2565e-02
  293.5    2.7159e+00    3.3519e+00   -1.8974e-01   -3.7031e-02
  296.5    2.8192e+00    3.3519e+00   -1.5893e-01   -5.8210e-02
  299.5    2.8578e+00    3.3519e+00   -1.4741e-01   -8.7821e-02
  302.5    3.0853e+00    3.3519e+00   -7.9531e-02   -9.6644e-02
  305.5    3.2297e+00    3.3519e+00   -3.6454e-02   -8.5552e-02
  308.5    3.2587e+00    3.3519e+00   -2.7800e-02   -1.9826e-02
  311.5    3.2892e+00    3.3519e+00   -1.8702e-02   -1.2086e-02
  314.5    3.3249e+00    3.3519e+00   -8.0675e-03   -1.0425e-03
  317.5    3.4030e+00    3.3519e+00    1.5254e-02    5.7631e-03
  320.5    3.3282e+00    3.3519e+00   -7.0843e-03   -1.4086e-02
  323.5    3.1585e+00    3.3519e+00   -5.7695e-02   -5.0050e-02
  326.5    3.0092e+00    3.3519e+00   -1.0225e-01   -8.3336e-02
  329.5    2.8611e+00    3.3519e+00   -1.4643e-01   -8.7035e-02
  332.5    2.8329e+00    3.3519e+00   -1.5485e-01   -7.8703e-02
  335.5    2.7336e+00    3.3519e+00   -1.8447e-01   -4.8016e-02
  338.5    2.7617e+00    3.3519e+00   -1.7607e-01   -2.6271e-02
  341.5    3.0237e+00    3.3519e+00   -9.7922e-02   -2.6531e-03
  344.5    3.4405e+00    3.3519e+00    2.6428e-02    2.4185e-02
  347.5    4.0197e+00    3.3519e+00    1.9922e-01    7.5095e-02
  350.5    4.3525e+00    3.3519e+00    2.9850e-01    1.0166e-01
  353.5    4.3778e+00    3.3519e+00    3.0606e-01    9.0285e-02
  356.5    4.2239e+00    3.3519e+00    2.6014e-01    3.5811e-02
